epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,2239.08,1.01812,1.04652,1.05473,0.79247,0.67006,0.74325,0.44992,1.40014,1.16798,1.29019,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
96,2262.04,1.01688,1.01505,1.05612,0.82695,0.63154,0.7362,0.44826,1.40474,1.16567,1.28798,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543
97,2286.1,1.04434,0.98561,1.05751,0.75436,0.69238,0.7349,0.44634,1.40718,1.15723,1.29018,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
98,2309.18,0.99185,1.00749,1.03843,0.78542,0.68279,0.73834,0.44449,1.41799,1.17591,1.29193,0.00141763,0.000472544,0.00141763,0.000472544,0.00141763,0.000472544,0.00141763,0.000472544
99,2331.67,1.00655,1.02998,1.05429,0.7923,0.67783,0.7343,0.44908,1.39895,1.15138,1.28174,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
100,2354.95,1.01484,0.97862,1.04914,0.78601,0.66651,0.73277,0.4487,1.40189,1.1525,1.28879,0.00139063,0.000463545,0.00139063,0.000463545,0.00139063,0.000463545,0.00139063,0.000463545
101,2377.48,1.00746,1.00175,1.04815,0.76194,0.69409,0.72867,0.44256,1.40562,1.16415,1.29433,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
102,2401.15,1.00505,0.99913,1.04353,0.79999,0.66442,0.72255,0.43755,1.41368,1.16332,1.29894,0.00136364,0.000454545,0.00136364,0.000454545,0.00136364,0.000454545,0.00136364,0.000454545
103,2422.96,1.00437,0.97692,1.03622,0.77593,0.66704,0.72569,0.44337,1.4153,1.15684,1.29386,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
104,2445.93,0.98988,0.961,1.02526,0.81777,0.6305,0.73346,0.44766,1.41455,1.15155,1.29464,0.00133664,0.000445546,0.00133664,0.000445546,0.00133664,0.000445546,0.00133664,0.000445546
105,2469.08,0.99564,0.97584,1.03497,0.79406,0.66733,0.73641,0.44537,1.41733,1.14175,1.29453,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
106,2495.78,0.99169,0.96701,1.04097,0.77595,0.68262,0.7375,0.44564,1.41421,1.15706,1.29428,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547
107,2519.18,0.96619,0.99175,1.03803,0.82039,0.64305,0.72416,0.43905,1.42275,1.179,1.29882,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
108,2542.7,0.97408,0.94236,1.02369,0.79847,0.64373,0.7323,0.45069,1.40436,1.1511,1.28683,0.00128264,0.000427548,0.00128264,0.000427548,0.00128264,0.000427548,0.00128264,0.000427548
109,2564.91,1.00506,0.96666,1.03593,0.78834,0.64837,0.71762,0.43951,1.41325,1.1719,1.29645,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
110,2588.4,0.99166,0.96423,1.03661,0.77383,0.67313,0.72301,0.44507,1.41803,1.15618,1.30057,0.00125565,0.000418549,0.00125565,0.000418549,0.00125565,0.000418549,0.00125565,0.000418549
111,2610.8,0.98341,0.97232,1.04608,0.7717,0.66852,0.72056,0.43891,1.41645,1.16728,1.30184,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
112,2634.92,0.98448,0.96831,1.02858,0.75328,0.68674,0.72968,0.44816,1.41572,1.16083,1.29612,0.00122865,0.00040955,0.00122865,0.00040955,0.00122865,0.00040955,0.00122865,0.00040955
113,2658.58,0.97966,0.95518,1.03039,0.77193,0.68277,0.73041,0.44894,1.41259,1.17227,1.29162,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
114,2680.06,1.00771,0.96012,1.04556,0.77765,0.67724,0.72898,0.44464,1.41495,1.17225,1.28978,0.00120165,0.000400551,0.00120165,0.000400551,0.00120165,0.000400551,0.00120165,0.000400551
115,2703.84,0.97229,0.94181,1.02467,0.7752,0.68697,0.72468,0.44544,1.41447,1.16328,1.29328,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051
116,2725.79,0.97152,0.96462,1.02708,0.80219,0.67206,0.7332,0.44725,1.41631,1.16751,1.29802,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552
117,2748.98,0.97238,0.92451,1.02228,0.75949,0.68504,0.73267,0.45166,1.40473,1.16214,1.29516,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
118,2772.34,1.01745,0.95817,1.04763,0.77855,0.68216,0.73778,0.45009,1.40606,1.15941,1.29158,0.00114766,0.000382553,0.00114766,0.000382553,0.00114766,0.000382553,0.00114766,0.000382553
119,2793.96,0.96381,0.92648,1.02445,0.76742,0.67662,0.73328,0.44355,1.40782,1.16798,1.291,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053
120,2817.1,0.93343,0.90605,1.01077,0.77852,0.66987,0.72747,0.44263,1.41529,1.17169,1.29553,0.00112066,0.000373554,0.00112066,0.000373554,0.00112066,0.000373554,0.00112066,0.000373554
121,2838.94,0.9856,0.90602,1.0382,0.76002,0.67829,0.72514,0.44255,1.4103,1.18359,1.29416,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
122,2862.09,0.94887,0.93307,1.01844,0.74248,0.70127,0.72293,0.43856,1.41073,1.1724,1.29289,0.00109366,0.000364554,0.00109366,0.000364554,0.00109366,0.000364554,0.00109366,0.000364554
123,2885,0.93954,0.92078,1.01007,0.79531,0.65565,0.72702,0.44385,1.40753,1.16292,1.29277,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055
124,2907.53,0.97194,0.90286,1.02378,0.80134,0.66039,0.72864,0.44637,1.41156,1.15716,1.30007,0.00106667,0.000355555,0.00106667,0.000355555,0.00106667,0.000355555,0.00106667,0.000355555
125,2930.07,0.95989,0.94407,1.02177,0.7826,0.67005,0.7266,0.44252,1.41146,1.16471,1.29882,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
